Category,Name,Details
Player Roster - Quarterbacks,Lamar Jackson – QB,"Stats:\n• NFL MVP: 2019, 2023\n• Career Passing Yards: 17,000+\n• Career Rushing Yards: 5,000+\n\nDescription:\nElite dual-threat quarterback and centerpiece of the Ravens offense."
Player Roster - Quarterbacks,Cooper Rush – QB,"Stats:\n• NFL Starts: 10+\n\nDescription:\nVeteran backup quarterback providing experience and stability."
Player Roster - Running Backs,Derrick Henry – RB,"Stats:\n• Career Rushing Yards: 9,000+\n• Career Rushing TDs: 90+\n\nDescription:\nPower back known for size, speed, and late-game dominance."
Player Roster - Running Backs,Justice Hill – RB,"Stats:\n• Versatile runner and receiver\n\nDescription:\nChange-of-pace back with strong special teams value."
Player Roster - Running Backs,Keaton Mitchell – RB,"Stats:\n• Yards per carry: 8.0+ (rookie season)\n\nDescription:\nExplosive speed back capable of breaking big plays."
Player Roster - Running Backs,Rasheen Ali – RB,"Stats:\n• College standout at Marshall\n\nDescription:\nYoung developmental back with quickness and vision."
Player Roster - Running Backs,Patrick Ricard – FB,"Stats:\n• Pro Bowls: Multiple\n\nDescription:\nVersatile fullback and blocking specialist, key to run-heavy sets."
Player Roster - Tight Ends,Mark Andrews – TE,"Stats:\n• Pro Bowls: Multiple\n• Career Receptions: 400+\n\nDescription:\nPrimary receiving tight end and red-zone threat."
Player Roster - Tight Ends,Isaiah Likely – TE,"Stats:\n• Breakout games when starting\n\nDescription:\nAthletic tight end with strong receiving upside."
Player Roster - Tight Ends,Charlie Kolar – TE,"Stats:\n• Strong blocking metrics\n\nDescription:\nReliable tight end contributing in both run and pass schemes."
Player Roster - Offensive Line,Ronnie Stanley – OT,"Stats:\n• Pro Bowl LT\n\nDescription:\nVeteran left tackle protecting the blind side."
Player Roster - Offensive Line,Tyler Linderbaum – C,"Stats:\n• Pro Bowl Center\n\nDescription:\nElite technician anchoring the offensive line."
Player Roster - Offensive Line,Andrew Voorhees – G,"Stats:\n• Rookie season contributor\n\nDescription:\nPhysical interior lineman with strong run-blocking ability."
Player Roster - Offensive Line,Ben Cleveland – G,"Stats:\n• Known for size and power\n\nDescription:\nDepth guard providing physicality in the trenches."
Player Roster - Offensive Line,Corey Bullock – OT,"Stats:\n• Developmental tackle\n\nDescription:\nYoung offensive lineman building versatility."
Player Roster - Offensive Line,Joseph Noteboom – OT,"Stats:\n• NFL starter experience\n\nDescription:\nVeteran swing tackle offering depth and flexibility."
Player Roster - Wide Receivers,Zay Flowers – WR,"Stats:\n• 1,000+ receiving yards season\n\nDescription:\nExplosive playmaker and primary receiving threat."
Player Roster - Wide Receivers,Rashod Bateman – WR,"Stats:\n• Former 1st-round pick\n\nDescription:\nPolished route runner with strong hands."
Player Roster - Wide Receivers,DeAndre Hopkins – WR,"Stats:\n• All-Pro selections\n• Career receiving yards: 12,000+\n\nDescription:\nElite veteran receiver known for contested catches."
Player Roster - Wide Receivers,Tylan Wallace – WR,"Stats:\n• Special teams contributor\n\nDescription:\nDepth receiver with value in coverage units."
Player Roster - Wide Receivers,Devontez Walker – WR,"Stats:\n• College deep-threat specialist\n\nDescription:\nSpeed receiver capable of stretching defenses."
Player Roster - Wide Receivers,LaJohntay Wester – WR,"Stats:\n• Slot production at college level\n\nDescription:\nAgile receiver with return and slot potential."
Player Roster - Defensive Front,Nnamdi Madubuike – DT,"Stats:\n• Double-digit sack season\n\nDescription:\nInterior disruptor and cornerstone of the defensive line."
Player Roster - Defensive Front,Travis Jones – DT,"Stats:\n• Strong run-stopping metrics\n\nDescription:\nPower defensive tackle anchoring the interior."
